39978_at	HSD17B3
32926_at	
41691_at	UBXN7
1171_s_at	POU2F1
32347_at	CYP4F11
37268_at	VEGFB
32209_at	FAM89B
37654_at	SNX17
34223_at	CSF3R
31494_at	
35484_at	SNX29
32147_at	FARP1
1188_g_at	LIG3
40572_at	AAK1
38904_at	SRC
35858_at	LOC100289561
39110_at	EIF4B
39885_at	
38899_s_at	MFN1
1531_at	N4BP2L2
808_at	RAB27B
32840_at	
31840_at	IDE
33079_at	STX6
40614_at	SHB
39567_at	LOC100509620	AQP7	AQP7P1	AQP7P5
40206_at	PSKH1
32900_at	SYDE1
34196_at	GATAD1
1349_at	
36522_at	CRTC1
31799_at	
36663_at	NPPA
34948_at	APOBEC3F
36213_at	MFHAS1
1088_at	BDNF
41724_at	BCAP31
35242_at	CDK18
41591_at	DCAF7
40219_at	
38652_at	WBP1L
499_at	MAD1L1
34958_at	
36229_at	IL17RA
39288_at	CADM3
31759_at	SAG
1433_g_at	SMAD3
1564_at	AKT1
34442_at	BRINP3
41590_at	TRAPPC12
39945_at	FAP
36312_at	SERPINB8
37600_at	ECM1
41661_at	
41290_at	NCAM1
1295_at	RELA
627_g_at	AVPR1B
1008_f_at	EIF2AK2
38631_at	TNFAIP2
37962_r_at	STXBP3
39238_at	NAT6
37929_at	CADM1
38630_at	CERS6
34553_at	MTMR7
41407_at	MIR1236	NELFE
39031_at	COX7A1
940_g_at	NF1P9	NF1
34879_at	DPM1
36223_at	SFPQ
32806_at	TSPO
35891_at	HAO1
37210_at	INA
31423_at	
35404_at	TACR2
41601_at	ADAM17
35436_at	GOLGA2
133_at	CTSC
41452_at	ZKSCAN5
41576_at	
41241_at	NARS
1102_s_at	NR3C1
34352_at	PCBD1
31490_at	SCN5A
1169_at	PCDHGB7
36354_at	TNN
33643_at	MYCL
35800_at	PAFAH1B3
38181_at	MMP11
130_s_at	NKX2-1
38318_at	FAM8A1
36925_at	HSPA2
967_g_at	RAD54L
33320_at	HCP5
40590_at	
33230_at	PRPF19
38467_at	HPS1
31732_at	RLN2
33738_r_at	ST20-MTHFS	ST20	MTHFS
36005_at	CLASRP
37640_at	HPRT1
32628_at	VEZF1
31682_s_at	VCAN
31586_f_at	IGK	IGKC
32312_at	TPM2
673_at	MTHFD1
38700_at	CSRP1
35511_at	DAGLA
36422_s_at	CHRD
37213_at	DNASE1L1
33174_s_at	
41529_g_at	FAM168B
1325_at	SMAD1
32140_at	SORL1
34126_at	BRSK2
1473_s_at	MYB
41398_at	YTHDC2
2016_s_at	SNORA70	RPL10	EEF1A1
39940_at	SBSPON
36842_at	ERC2
32479_at	TNFRSF11A
1915_s_at	FOS
35110_at	MPHOSPH8
40693_at	KCNB1
33754_at	NKX2-1
31875_at	ASB1
40223_r_at	SBF1
39943_at	ORC2
39826_f_at	
36110_at	RAB5A
37842_at	MDFIC
39923_at	ARHGAP12
2043_s_at	BCR
33871_s_at	FOLR2
31751_f_at	HIST1H4L
32118_at	RAD17
40448_at	ZFP36
32888_at	LTK
41243_at	SLC35E2B	SLC35E2
2092_s_at	SPP1
35194_at	GPX2
34308_at	HIST1H2AC
1510_g_at	MMP16
37830_at	TSPAN9
171_at	VBP1
39152_f_at	COIL
34814_at	UBA2
35854_at	SLC18A2
34824_at	UBQLN2
31866_at	PAF1
35740_at	EMILIN1
38118_at	SHC1
33834_at	CXCL12
41250_at	AIMP2
39667_at	NOVA2
37119_at	VAMP4
40871_at	VHL
38664_at	CFDP1
36466_at	DTNA
33840_at	TPD52
34446_at	RABGAP1L
31671_at	RBMS1
255_s_at	INHA
37665_at	EIF2B1
1173_g_at	SAT1
837_s_at	ME1
34155_s_at	TYR
31406_at	GPR50
1786_at	MERTK
35024_at	OPRK1
1408_at	FGF4
39764_at	ACVR1
35498_at	CRYGA
36888_at	HAUS5
33032_r_at	
38420_at	COL5A2
206_at	CTSE
40955_at	PTOV1
41688_at	PLLP
442_at	MIR3652	HSP90B1
838_s_at	UBE2I
35179_at	B3GAT3
38038_at	LUM
39112_at	USF2
32370_at	GZMH
31353_f_at	FOXE1
37285_at	ALAS2
2060_at	BCL2
39080_at	KDELR2
1859_s_at	MDM2
261_s_at	APOB
39230_at	APOBEC3B
32709_at	KCNAB1
41139_at	MAGED1
37556_at	GCA
32510_at	AKR7A2
34454_r_at	APOC4-APOC2	APOC4	APOC2
1892_s_at	NTRK1
32104_i_at	CAMK2G
653_at	RFC5
41187_at	MYL12B
31883_at	MTRR
38560_at	UTP20
1641_s_at	DDB1
41434_at	USP46
32705_at	CYP3A7-CYP3A51P	CYP3A7
37287_at	NRCAM
1248_at	POLR2H
36516_at	ZNF473
35332_at	APOB
40129_at	PRKDC
34085_at	RPL38
33182_at	NTRK2
450_g_at	CGRRF1
545_g_at	NFKB2
35755_at	ITPK1
1872_at	RAD51
214_at	MSX1
35552_at	PCYT1B
36807_at	FAM155B
1844_s_at	MAP2K1
37780_at	PCLO
1949_at	
35074_at	JRKL
1009_at	HINT1
37212_at	SP2
33057_g_at	EXOG
37094_at	XRCC3
1495_at	LTBP1
33924_at	DENND5A
33089_s_at	EFNA2
39232_at	LIMS4	LIMS1
38281_at	CASP7
33270_i_at	DMXL1
31924_at	ADCY10
36329_at	SCGB2A2
34660_at	RNASE6
38300_at	FZD1
33470_at	GRIP2
41423_at	CLSTN3
33607_at	HTR1E
1822_at	RET
31582_at	MAGEB4
35656_at	RNF6
35570_at	SLCO1B1
38880_at	MAPKBP1
31349_at	PPBPP2
34076_at	
37280_at	SMAD1
33168_at	SLC46A3
36543_at	F3
32195_at	MSL1
40753_at	SNCB
40700_at	SP140
34998_at	PRMT3
35741_at	PIP4K2B
AFFX-ThrX-3_at	
40538_at	SLC26A10
38602_at	MYH6
41834_g_at	JTB
39557_at	LYRM9
38282_at	ADAM15
954_s_at	PPP1CA
461_at	ASAH1
39211_at	CCDC94
41771_g_at	MAOA
32453_at	OPN1SW
1541_f_at	IFNA5	IFNA6
35458_r_at	ABCB10
AFFX-LysX-3_at	
953_g_at	FKBP1A
36418_at	PRICKLE3
40314_at	SYNGR3
40257_at	KANK3
32609_at	HIST2H2AA4	HIST3H2BB	HIST2H2AA3
32318_s_at	ACTB
32691_s_at	PTGER3
32930_f_at	NLGN4Y
38012_at	FBN2
38747_at	CD34
33694_at	PGM5
32192_g_at	PCGF2
33085_at	PDCD1
38606_at	TDO2
36530_g_at	TRAPPC6A
39957_at	SOCS6
1598_g_at	GAS6
404_at	IL4R
41681_at	ABCB7
33399_at	SPTSSA
41008_at	FAM169A
39564_s_at	ABCB6
34524_at	AJAP1
34038_at	SLC6A13
39313_at	WNK1
41126_at	SLC1A4
33280_r_at	ACSM3
39215_at	NPPB
41547_at	BUB3
36951_at	MRPL49
40209_at	ICAM5
32567_at	CHKA
32565_at	SMARCD3
40570_at	FOXO1
32057_at	LRRC17
1742_at	ERBB3
38941_s_at	SPC25
39652_at	XCL1
41604_at	ANKRD46
39014_at	FCGBP
644_at	RND2
31553_at	ZNF460
36398_at	CTCF
35817_at	MBP
41403_at	SNRPF
34497_at	TAF1B
37290_at	CDH8
35445_at	ARHGAP33
32960_at	SMO
539_at	RYK
31374_at	
39848_at	KCNS1
34837_at	SPECC1L
33346_r_at	TUBG1
41052_s_at	CACNA1A
34608_at	SNORD95	SNORD96A	RACK1
38834_at	TOPBP1
35532_i_at	KLRC4	KLRC4-KLRK1
37845_at	NCKAP1L
36670_at	EDC4
31503_at	
34059_at	MIR1204	PVT1
39296_at	LINC00342
31856_at	LRRC32
41053_at	C6orf47
32638_s_at	LOC101060386	BOLA2	SMG1
2070_i_at	MAPK8
1935_at	MDM4
1485_at	EPHA7
1423_at	UBE2G1
35495_at	GTF2A1
33131_at	SOX4
37648_at	TTLL12
34203_at	CNN1
32822_at	SLC25A4
33556_at	FICD
38298_at	KCNMB1
31688_at	LCE2B
38566_at	COL10A1
1010_at	MAPK11
41406_at	INTS3
1820_g_at	RAP2A	RAP2B
33670_at	ESR1
39346_at	KHDRBS1
36607_at	NAGA
32173_at	RIDA
882_at	CSF1
40070_at	RBM10
